publisher,series title,issue title,cover image,description,writers,artists,inkers,colorists,pages,release date
BOOM! - Archaia,Jim Hensons Storyteller: Fairies,Jim Hensons Storyteller: Fairies #2,https://images-na.ssl-images-amazon.com/images/S/cmx-images-prod/Item/619826/619826._SX360_QL80_TTD_.jpg,"Based on a Danish folktale titled ""Faerie Hill,"" legend has it that any king who goes hither to meet the Fairy Queen will be cast under a spell, forever changed, and mad...",Benjamin Schipper,Benjamin Schipper,,,27 Pages,January 17 2018
BOOM! Studios,Kong on the Planet of the Apes,Kong on the Planet of the Apes #3 (of 6),https://images-na.ssl-images-amazon.com/images/S/cmx-images-prod/Item/619841/619841._SX360_QL80_TTD_.jpg,"Kong is taken in by Doctor Zaius, Cornelius, Zika, and General Ursus as they all seek to learn more about this mysterious creature and the natives of Skull Island.",Ryan Ferrier,Carlos Magno,,Alex Guimaraes,29 Pages,January 17 2018
BOOM! Studios,Mighty Morphin Power Rangers,Mighty Morphin Power Rangers #23,https://images-na.ssl-images-amazon.com/images/S/cmx-images-prod/Item/619861/619861._SX360_QL80_TTD_.jpg,The Rangers discover just how far their new allies are willing to go against Rita.,Kyle Higgins,Jonas Scharf,,"Triona Farrell, Matt Herms",27 Pages,January 17 2018
BOOM! - KaBOOM!,Rugrats,Rugrats #4,https://images-na.ssl-images-amazon.com/images/S/cmx-images-prod/Item/619886/619886._SX360_QL80_TTD_.jpg,"Stu takes the kids to the toy store and becomes embroiled in a fight over a rare toy, leaving the babies free to wander.",Box Brown,Lisa DuBois,,Eleonora Bruni,26 Pages,January 17 2018
BOOM! Studios,WWE,WWE #13,https://images-na.ssl-images-amazon.com/images/S/cmx-images-prod/Item/619906/619906._SX360_QL80_TTD_.jpg,"Celebrate WWE Monday Night Raw with stories from every era of the flagship show in sports entertainment history, including a story co-written by WWE Superstar Samoa Joe on how he joined the WWE Raw Roster.","Samoa Joe, Michael Kingston, Julian May, Kevin Panetta, Lan Pitts","Daniel Bayliss, Kendall Goode, Rodrigo Lorenzo, Michel Mulipola",,Doug Garbark,25 Pages,"
								Julian May							"
DC,Aquaman (2016-),Aquaman (2016-) #32,https://images-na.ssl-images-amazon.com/images/S/cmx-images-prod/Item/606299/606299._SX360_QL80_TTD_.jpg,"“THE CROWN COMES DOWN” part two! As Aquaman’s resistance against King Rath gains momentum, a new kingpin of crime emerges from the Atlantean underworld—King Shark! But whose side is he on? He could be a powerful ally to the Undercurrent…or a dangerous new agent of evil!",Dan Abnett,Riccardo Federici,Riccardo Federici,Sunny Gho,30 Pages,January 17 2018
DC,Batman/Teenage Mutant Ninja Turtles II (2017-),Batman/Teenage Mutant Ninja Turtles II (2017-) #3,https://images-na.ssl-images-amazon.com/images/S/cmx-images-prod/Item/606329/606329._SX360_QL80_TTD_.jpg,"Batman and the Turtles go on the offensive in the belief that they can take Bane down while he’s weakened, due to a lack of Venom on the Turtles’ world. But that’s not true any more! The Turtles’ foe Baxter Stockman has found a way to reproduce the deadly substance that feeds Bane—which means the Dark Knight and the Heroes on a Half-Shell are in for the fight of their lives.","Ryan Ferrier, James Tynion IV",Freddie E. Williams II,Freddie E. Williams II,Jeremy Colwell,29 Pages,January 17 2018
DC,Batwoman (2017-),Batwoman (2017-) #11,https://images-na.ssl-images-amazon.com/images/S/cmx-images-prod/Item/606339/606339._SX360_QL80_TTD_.jpg,"“PYGSTY”! It’s the New Year, and Professor Pyg needs new Dollotrons for his latest artistic endeavor. As Batwoman tries to put her personal demons to bed, she must stop the madman from carving out his sick intentions.",K. Perkins,Scott Godlewski,Scott Godlewski,John Rauch,29 Pages,January 17 2018
DC,Damage (2018-),Damage (2018-) #1,https://images-na.ssl-images-amazon.com/images/S/cmx-images-prod/Item/594561/594561._SX360_QL80_TTD_.jpg,"Ethan “Elvis” Avery just wanted to serve his country. Instead, he’s been changed into a monster!

 Tasked as the government’s own living, breathing, ticking time bomb, Ethan retains no control when the monster takes over. Cheaper than a nuclear warhead and twice as effective, Ethan fights to rein in the damage he unleashes when the beast inside him springs free for one hour a day. With everyone around him in danger, Ethan struggles to contain the DAMAGE he inflicts on the DC Universe.",Robert Venditti,Tony Salvador Daniel,Danny Miki,Tomeu Morey,26 Pages,January 17 2018
DC,Future Quest Presents (2017-),Future Quest Presents (2017-) #6,https://images-na.ssl-images-amazon.com/images/S/cmx-images-prod/Item/606414/606414._SX360_QL80_TTD_.jpg,"Strange twists and turns abound as we delve deeper into the secret life of Birdman, and explore the surprising origin of Birdman’s deadliest foe—Mentok the Mind-Taker!",Phil Hester,Steve Rude,Steve Rude,John Kalisz,33 Pages,January 17 2018
