publisher,series title,issue title,cover image,description,writers,artists,inkers,colorists,pages,release date
Marvel,Venom (2016-),Venom Vol. 3: Lethal Protector - Blood In The Water,https://images-na.ssl-images-amazon.com/images/S/cmx-images-prod/Item/598445/598445._SX360_QL80_TTD_.jpg,"Collects Venom (2016) #154-158.

Something sinister is lingering in the darkest depths of New York, and no one is safe! Even the monsters know fear when the worlds deadliest hunter, Kraven, makes them his prey. Their only hope is Venom, a lethal protector who can turn the hunter…into the hunted. But with Kraven armed to the teeth and hungry for blood, can Venom hold him off long enough to protect the dinosaur community living beneath the streets of Manhattan? Or will the vengeful, relentless and unkillable Kraven find himself a heartbeat away from adding a new trophy to his collection: the head of Eddie Brock?! Plus: Youve seen things from Eddie Brocks perspective, now see how they look from the other side in a tale told from the point of view of the Venom symbiote!",Mike Costa,"Mark Bagley, Paulo Siqueira",,,126 Pages,January 31 2018
Marvel,Werewolf By Night (1972-1988),Werewolf By Night: The Complete Collection Vol. 2,https://images-na.ssl-images-amazon.com/images/S/cmx-images-prod/Item/598450/598450._SX360_QL80_TTD_.jpg,"Collects Werewolf By Night (1972) #16-30, Giant-Size Creatures #1, Giant-Size Werewolf #2-4 and material from Monsters Unleashed (1973) #6-7.

More howling great adventures starring Jack Russell — the Werewolf by Night! Whether its death in the cathedral, courtesy of none other than the Hunchback of Notre Dame, or murder by moonlight at the hands of another lycanthrope, the stakes are high for Jack! Hell battle the Behemoth, team up with Tigra, melee with Morbius and fight Frankensteins Monster — but can he avoid the Hangmans noose? Whether Jacks in Hollywood or Transylvania, theres no shortage of vampires, brutes and other terrors out to get him — but few can match the outright horror of the Soul-Beast! Yet Jacks greatest fear remains the fate of his sister — can he spare her from his lycanthropic curse and the dread attentions of Doctor Glitternight?","Gerry Conway, Mike Friedrich, Tony Isabella, Doug Moench","Pat Broderick, Yong Montano, Don Perlin, Mike Ploog, Virgilio Redondo",,,433 Pages,January 31 2018
Marvel,Zombies Assemble 2 (2017),Zombies Assemble Vol. 2,https://images-na.ssl-images-amazon.com/images/S/cmx-images-prod/Item/598310/598310._SX360_QL80_TTD_.jpg,"Collects Zombies Assemble 2 #1-4.

The Avengers face a threat even bigger and more menacing than they could have imagined as the stakes are raised in the race to cure the zombie outbreak! Caught in a massive explosion, Captain America, Hawkeye and Iron Man wake up in the midst of a city overrun by zombies. Miraculously, they find they havent been turned, though they come face-to-face with Jasper Scott — a mysterious scientist who claims to have a cure for the virus. But who is he really, and does he actually possess the antivirus Bruce Banner has been struggling to create? More important: Is the Hulk immune to the zombie plague? Marvels English-language adaptation of the original blockbuster manga series rolls on!","Yusaku Komiyama, Jim Zub",Yusaku Komiyama,,,193 Pages,January 31 2018
Oni Press,Kaijumax: Season Three,Kaijumax: Season Three #6,https://images-na.ssl-images-amazon.com/images/S/cmx-images-prod/Item/601261/601261._SX360_QL80_TTD_.jpg,"SEASON FINALE! All-Out Gang Attack has erupted in KAIJUMAX prison between the Cryptids and the old-school J-Kaiju and its every mon for himself amid flying claws, fire breath, and stomping action. Interspecies alliances are broken! Antediluvian lifespans come to an end! In the chaos, Mechazon and Electrogor put their risky plan to murder the crafty and sociopathic Zonn into action, but theres just so much that can go wrong. Also: New evolved kaiju powers! Two long-awaited comeuppances! A bloodless squishing! And",Zander Cannon,Zander Cannon,Zander Cannon,Zander Cannon,30 Pages,January 31 2018
AAM-Markosia,Plague,Plague #4,https://images-na.ssl-images-amazon.com/images/S/cmx-images-prod/Item/635013/635013._SX360_QL80_TTD_.jpg,"Flesh-eating trolls, demonic field spirits and dead clergy collide in the Black Forest of Germany as our unlikely heroes find themselves trapped in this shocking chapter of the Plague saga.","Dennis Fallon, Jason  Palmatier",Zachary Brunner,,,26 Pages,January 31 2018
AfterShock Comics,Animosity,Animosity #12,https://images-na.ssl-images-amazon.com/images/S/cmx-images-prod/Item/596042/MC41947QSZX_1517004252264._SX360_QL80_TTD_.jpeg,"The twisting timelines converge as Jesse races to stop a war and Sandor dives into the darkness for the family that he loves.

From the brilliant mind of creator/writer Marguerite Bennett (INSEXTS, Bombshells and Batwoman) with artwork by 2017 Russ Manning Award finalist Rafael De Latorre (SUPERZERO).

“Animosity looks to be Aftershock’s first true classic, the book that’ll put them on the map.” – Tara Giovannini of IGN.com",Marguerite Bennett,Rafael de Latorre,,Rob Schwager,28 Pages,January 31 2018
AfterShock Comics,Dark Ark,This is part of a collected edition,https://images-na.ssl-images-amazon.com/images/S/cmx-images-prod/Item/596068/E5MN7AFV0Z6_1517004237994._SX360_QL80_TTD_.jpeg,"In a bid to take control of Shraes ark, the vampires have staged a vicious attack on man and monster alike. Now, in the aftermath of the attack, Shrae and his family must decide how to carry on. But the attempted coup has drawn the attention of more powerful forces...forces of darkness...and forces of light! 

From writer Cullen Bunn (X-Men Blue, Deadpool, Venom) and artist Juan Doe (AMERI-CAN MONSTER, WORLD READER) comes a sinister tale of biblical proportions that HAD to be told at AfterShock Comics. 

“In the hands of Bunn and Doe, AfterShock may once again be riding the tide of success.“ – Johnny ""The Machine"" Hughes of comiccrusaders.com",Cullen Bunn,Juan Doe,,,30 Pages,January 31 2018
American Mythology Productions,Chim Chum & Portly Samurai,Chim Chum and the Portly Samurai #1,https://images-na.ssl-images-amazon.com/images/S/cmx-images-prod/Item/631801/631801._SX360_QL80_TTD_.jpg,"""Chim Chum and the Lost Village"" When a down-on-his-luck freelance swordsman and his plucky fox sidekick finally land a paying gig, they become unwitting players in the mystery of a legendary lost city. Written and illustrated by former Disney artist Adrian Ropp, Chim Chum and the Portly Samurai is an all-ages adventure comedy based on the web comic of the same name.",Adrian Ropp,Adrian Ropp,Adrian Ropp,Adrian Ropp,33 Pages,January 31 2018
American Mythology Productions,Equilibrium Gun Kata Casebook,Equilibrium Gun Kata Casebook #1,https://images-na.ssl-images-amazon.com/images/S/cmx-images-prod/Item/631806/631806._SX360_QL80_TTD_.jpg,"Return to Libria and the dystopian world of Equilibrium!  Emotions and artistic expression is banned.  And Sense Offenders are the biggest threat to the peace the city faces.  To stop these terrorists, the Grammaton Clerics are trained in the lethal martial art of gun kata, which allow them to dispatch of the underground rebels with brutal finality.  This special one shot story examines the black and white world of Equilibrium and drops you in the middle of a non-stop firefight for control!",Tory Mell,Richard Bonk,Clint Hilinski,Emmanuel Torres,32 Pages,January 31 2018
Aspen Comics,Overtaken,Overtaken #5 (of 5),https://images-na.ssl-images-amazon.com/images/S/cmx-images-prod/Item/635475/635475._SX360_QL80_TTD_.jpg,"Prepare yourself to be - OVERTAKEN! The final issue of Overtaken is here but that doesnt mean the action has subsided! Will and Jesse make their last ditch effort to escape this war torn planet and get back to Earth. However, theyll need to survive one last round with the aliens before they can go. And even if they make it out alive, they still need to live through the harrowing journey home! Written and created by Frank Mastromauro, featuring artwork by the talented newcomer Marco Lorenzana, OVERTAKEN is going to take your breath away and leave you gasping for more!",Frank Mastromauro,"Justice, Marco Lorenzana, Mark Roslan",,Justice,24 Pages,January 31 2018
Dynamite,Vampirella (2011),Vampirella: The Dynamite Years Omnibus Vol. 2,https://images-na.ssl-images-amazon.com/images/S/cmx-images-prod/Item/627895/627895._SX360_QL80_TTD_.jpg,"Vampirella, a lethal beauty waging a war against the undead and demonic, must defend her recent actions to a tribunal deep within Vatican City. Hell is coming to Earth, and only Vampirella and her trusted allies can stop it! Bad blood and old grievances are put aside when a deadly coven of witches threatens to unrival all time and reality, and Vampirella finds herself stranded one hundred years in the future. A vision of things to come forces our heroine to make a painful decision, forever altering her fate.  Then, what begins in the shadowy jungles of a voodoo island empire will reach its astonishing conclusion in Hell itself! Everyones favorite dark heroine will be pushed to the breaking point as her sanctuary is threatened, her love is at risk, and her own mother might just be her worst enemy after all! Its a story of endings and beginnings!",Brandon Jerwa,"Patrick Berkenkotter, Heubert Khan Michael",,,492 Pages,January 31 2018
Lion Forge Comics,Catalyst Prime: Kino,KINO #3,https://images-na.ssl-images-amazon.com/images/S/cmx-images-prod/Item/631431/631431._SX360_QL80_TTD_.jpg,"Clarence Coal, the worlds greatest hunter, has been hired by the Foresight Corporation to locate Alistair Meath, the superhero called Kino.   Agent Gilmour from Britains MI6 is on Kinos tail as well, but the superhero is having strange problems of his own, fighting a group of enhanced children who want to tear him apart, limb from limb.   Paths converge as the secrets behind Kinos new life as a superhero begin to unravel.",Joe Casey,Jefte Palo,,,32 Pages,January 31 2018
TidalWave Productions,Soldiers of Fortune,Soldiers Of Fortune #1,https://images-na.ssl-images-amazon.com/images/S/cmx-images-prod/Item/629599/629599._SX360_QL80_TTD_.jpg,"When the bad guys dont play by the rules... the good guys need the equalizer. STEALTH: Big Guns. Big Attitude. Shoot first and ask questions later. In the tradition of GI Joe, Sgt. Fury and The Howling Commandos, and Sgt. Rock comes the new mercenaries for a new world. ""Soldiers Of Fortune No. 1: One Of Our Nukes Is Missing,"" written by New York Times bestselling author Marc Shapiro and drawn by monster talent Steven Black, begins its kick ass odyssey in June through TidlaWave Comics. STEALTHS credo: No rules are the rules.",Marc Shapiro,"Brad Ashworth, Brad Ashworth",Brad Ashworth,Ben Gilbert,24 Pages,"When the bad guys dont play by the rules... the good guys need the equalizer. STEALTH: Big Guns. Big Attitude. Shoot first and ask questions later. In the tradition of GI Joe, Sgt. Fury and The Howling Commandos, and Sgt. Rock comes the new mercenaries for a new world. ""Soldiers Of Fortune No. 1: One Of Our Nukes Is Missing,"" written by New York Times bestselling author Marc Shapiro and drawn by monster talent Steven Black, begins its kick ass odyssey in June through TidlaWave Comics. STEALTHS credo: No rules are the rules."
Udon,Street Fighter VS Darkstalkers,Street Fighter VS Darkstalkers #8 (of 8),https://images-na.ssl-images-amazon.com/images/S/cmx-images-prod/Item/573041/573041._SX360_QL80_TTD_.jpg,"The frighteningly furious fighting game crossover comes to its chaotic conclusion! The demonic Jedahs master plan threatens not only the World Warriors and the Night Warriors, but the universe itself! Its the final chapter of STREET FIGHTER VS DARKSTALKERS!",Ken Siu-Chong,Edwin Huang,,Espen Grundetjern,28 Pages,January 31 2018
Scout Comics,Long Lost,Long Lost #1,https://images-na.ssl-images-amazon.com/images/S/cmx-images-prod/Item/629426/629426._SX360_QL80_TTD_.jpg,"The Exact Color of Doubt
Stranger Things meets Ghost World in Long Lost, the haunting story of two estranged sisters who find themselves drawn back to their small southern hometown to unlock the disturbing mysteries that are hidden there, with all roads leading back to their enigmatic, secretive mother. Join Scout Comics as they proudly debut this compelling, harrowing journey through family relationships, childhood trauma, and southern gothic horror.",Matthew Erman,"Lisa Sterle, Lisa Sterle",Lisa Sterle,,32 Pages,January 31 2018
Tesladyne,Atomic Robo,Atomic Robo and the Spectre of Tomorrow #4,https://images-na.ssl-images-amazon.com/images/S/cmx-images-prod/Item/631124/631124._SX360_QL80_TTD_.jpg,"That secret cyborg plot to take over the world? Not so secret anymore! But, hey, Atomic Robo is hot on the case. Hes tracked the origin back to a familiar foe, but it looks like someone else got there first...",Brian Clevinger,Scott Wegener,Jenn Doyle,Anthony Clark,28 Pages,January 31 2018
Zenescope,Grimm Tales of Terror Vol. 1,Grimm Tales of Terror Artbook,https://images-na.ssl-images-amazon.com/images/S/cmx-images-prod/Item/622918/622918._SX360_QL80_TTD_.jpg,"Collected for the first time, Grimm Tales of Terror gets a special edition! This issue reprints one of the creepiest Tales of Terror released in an all new black and white format with the script presented with the artwork. Also included a never before released short story!",Joe Brusha,Yusuf Idris,,,39 Pages,January 31 2018
Zenescope,Grimm Fairy Tales: Tarot,Grimm Fairy Tales: Tarot #4,https://images-na.ssl-images-amazon.com/images/S/cmx-images-prod/Item/580711/580711._SX360_QL80_TTD_.jpg,"As each member of Tarot makes their move for power, not much escapes the watchful eye of the Empress. And anyone who aspires to take the throne from the Emperor better be prepared to face her wrath...meanwhile as Talisman trains with the Order of Light his feelings for Shimmer continue to grow and with it his salvation from his destiny.",Joe Brusha,Renato Rei,,"Jorge Cortes, Ulises Grostieta",25 Pages,January 31 2018
Valiant,Eternity,Eternity #4,https://images-na.ssl-images-amazon.com/images/S/cmx-images-prod/Item/616581/616581._SX360_QL80_TTD_.jpg,"A cosmos in chaos!   At the farthest edge of human understanding, Abram Adams – the lost cosmonaut called Divinity – and his comrade, Myshka, have discovered the purpose of their existence in this universe… and in the next one beyond our own. Now, as a seemingly infinite pantheon of mythic gods and cosmic beings rises to meet them head on, they’ll be forced to ignite a maelstrom of untold proportions to save their child from a fate worse than annihilation…   The age of Eternity is nigh! New York Times best-selling author Matt Kindt (X-O MANOWAR) and spectacular artist Trevor Hairsine (DIVINITY) lead the thrilling finale to the ambitious feat of visionary science fiction storytelling that will forever expand the boundaries of the Valiant Universe!",Matt Kindt,Trevor Hairsine,,,34 Pages,January 31 2018
Valiant,Quantum and Woody! (2017),Quantum and Woody (2017) #2,https://images-na.ssl-images-amazon.com/images/S/cmx-images-prod/Item/616556/616556._SX360_QL80_TTD_.jpg,"The must-read superhero-action-family-drama-buddy-comedy throwdown of 2018!   It’s the ones you love that hurt you the most…and, in the case of super-powered adoptive brothers Eric and Woody Henderson – aka Quantum and Woody – this is definitely going to leave a mark! Quantum has kept the truth about Woody’s biological father a secret, and now that Woody has found out about his brother’s betrayal, their once-promising superhero career has ground to a standstill. So now it’s time for one last shot at teaming up as our heroes head “down under” – ahem, to Australia – in search of Woody’s one true DNA match. Like father, like son? Let’s hope not.   You’ll believe two men and a goat can fly coach when the new adventures of the world’s worst superhero team continue with a slightly less collectible second issue from rising star Daniel Kibblesmith (The Late Show With Stephen Colbert) and dazzling artist extraordinaire Kano (Daredevil)!",Daniel Kibblesmith,Kano,,,33 Pages,January 31 2018
Space Between Entertainment,"Destiny, NY","Destiny, NY #3",https://images-na.ssl-images-amazon.com/images/S/cmx-images-prod/Item/628903/bee30c171ca94c5eb126a1f8b7a5c09e._SX360_QL80_TTD_.jpg,"Circle, Circle
Logans ex is in town with a revelation that is about to stir up some drama for our depressive magical girl. Also, Gia is hanging out with Lilith... you know, the woman shes destined to kill.

Basically, everything is super chill.",Pat Shand,Manuel Preitano,,,24 Pages,January 31 2018
Wicked Tree Press,Pistil,Pistil #0,https://images-na.ssl-images-amazon.com/images/S/cmx-images-prod/Item/629406/629406._SX360_QL80_TTD_.jpg,"This series is rated Adults OnlyDISCLAIMER: sadistic violenceStigma
Stigma, Issue #0 of the Pistil comic series, introduces Lita, a white knight hacker who uses technology to fight for victims of sexual assault with her mentor and only family, Hudson. With each wrong they fail to make right, Litas past trauma and the supernatural protectors she acquired during her enslavement, demand blood for these unpunished crimes. When a child victim of rape commits suicide because of her communitys harassment, Lita travels to that small town to stop the wicked. While tracking the predators, she meets Mira, another girl about to be attacked. During Miras assault, Lita joins Las Adelitas, warrior women who came before, and with their spirits filling her with superhuman power, she transforms into Pistil, a vigilante superhero.",Jessica Star Maison,"Loni Elizabeth Watson, Loni Elizabeth Watson",Mark Mactal,Mark Mactal,27 Pages,January 31 2018
Amigo Comics,The Apocalypse Girl,The Apocalypse Girl #2,https://images-na.ssl-images-amazon.com/images/S/cmx-images-prod/Item/628908/a2b6662f827bdf1242ce66aa5515de5d._SX360_QL80_TTD_.jpg,"Acne and period
The End of the World has an upside: theres no school. But, how do you spend the time? Metis does what every teenage girl does:  listen her music, fighting with mom, worrying about the sexy, mysterious Silent Angel, worrying about the young survivor Ollie and his brother Frank... and of course, surviving the demons at her door!",El Torres,Ramiro Borrallo,,,30 Pages,January 31 2018
"American Gothic Press, LLC",Killbox: Chicago,Killbox Vol. 2: Chicago,https://images-na.ssl-images-amazon.com/images/S/cmx-images-prod/Item/629641/ef694d2b014e6bb9fd98cb3c5cf062d9._SX360_QL80_TTD_.jpg,"When the going gets tough, the tough get going... to Chicago, that is, where a new Killbox game has begun! Timothy, Emi, and Sasha are on the run, haunted by bizarre monsters but still determined to get answers - and they may come more quickly than expected, as Killbox guru Leonard chooses extreme measures to capture them and seems to be deteriorating as a result. Artist Marco Ferrari joins the KILLBOX team for a brand new tale of violence and intrigue.",Tom Riordan,Marco Ferrari,Marco Ferrari,Marco Ferrari,101 Pages,January 31 2018
BroadSword Comics,"Tarot, Witch of the Black Rose","Tarot, Witch of the Black Rose #108",https://images-na.ssl-images-amazon.com/images/S/cmx-images-prod/Item/629995/629995._SX360_QL80_TTD_.jpg,"Night of the SkeletonMan
Tarot is shot while accompanying the Skeleton Man on one of his missions! Jon must steal a police car to save her life! Time is ticking away as Tarot bleeds out! Meanwhile, Raven Hex is attacked by two of Azures minions as they attempt to retrieve his severed arm.",Jim Balent,Jim Balent,,Holly Golightly,28 Pages,January 31 2018
Comicker,Welderkin,Welderkin #1,https://images-na.ssl-images-amazon.com/images/S/cmx-images-prod/Item/630010/630010._SX360_QL80_TTD_.jpg,"Jessica and Evan move into their new home, unaware of the tragedy that occurred there five years earlier. As Jessica explores her new surroundings, she begins to learn about the mysterious creatures that call the forest home.",Jordan Alsaqa,Joni Miller,,,27 Pages,January 31 2018
Sitcomics,The Blue Baron,The Blue Baron #1.1,https://images-na.ssl-images-amazon.com/images/S/cmx-images-prod/Item/628390/628390._SX360_QL80_TTD_.jpg,"""Everything Old Is...""
Since 1776, The Blue Baron has conquered alien invaders, maniacal mutants and super-powered psychopaths but will he be able to conquer -- 8th grade?!  Sitcomics proudly presents The Blue Baron #1 - a bodyswap comedy with super-powers that shows what happens when a 300 year old hero switches bodies with a 13 year old zero!  Written by TV sitcom veteran Darin Henry (Seinfeld) with art by industry legends Ron Frenz (Spider-Man) and Sal Buscema (The Hulk), The Blue Baron #1.1 serves to introduce comic book fans to a whole new shared universe of heroes and villains.",Darin Henry,Ron Frenz,Sal Buscema,Glenn Whitmore,26 Pages,January 31 2018
Sitcomics,Startup,Startup #2.1,https://images-na.ssl-images-amazon.com/images/S/cmx-images-prod/Item/622941/622941._SX360_QL80_TTD_.jpg,"""And Justice For All!""
An all-new 3 part saga kicks off as a psychotic vigilante known as The Adjudicator is killing super-villains and its up to Startup to stop him - whether she wants to or not!",Darin Henry,Craig Rousseau,,Glenn Whitmore,25 Pages,January 31 2018
Sitcomics,Super Suckers,Super Suckers #1.1,https://images-na.ssl-images-amazon.com/images/S/cmx-images-prod/Item/629034/629034._SX360_QL80_TTD_.jpg,"""Blood Sisters"" Part One
Jess and Kelly have nothing in common except a boyfriend who has unfortunately given them both a rare STD called Vampire.  Now they have to learn to work together, with help from their new suck buddy Stewart, to successfully navigate their new bloodsucking lifestyles.",Darin Henry,Jeff Shultz,,Glenn Whitmore,35 Pages,January 31 2018
Sitcomics,Z-People,Z-People #1.1,https://images-na.ssl-images-amazon.com/images/S/cmx-images-prod/Item/629165/629165._SX360_QL80_TTD_.jpg,"The End
Gilligans Island meets the Walking Dead in this hilarious first issue that pits six quarantined humans against three million zombies -- get ready to root for the zombies!",Darin Henry,Tom Richmond,,"K. Michael Russell, Glenn Whitmore",30 Pages,January 31 2018
Storm King Comics,John Carpenters Tales of Science Fiction,Vortex #4,https://images-na.ssl-images-amazon.com/images/S/cmx-images-prod/Item/631830/631830._SX360_QL80_TTD_.jpg,"VORTEX #4 (of 8)
With all eyes on the problem plagued asteroid, something nasty is stirring on space station Benson. Meanwhile at least one person has seemingly survived the incident on Garm so Dixon and his team must explore further, but will something find them first?

The second story of John Carpenters monthly anthology series Tales of Science Fiction continues in VORTEX #4 (of 8).",Mike Sizemore,Dave Kennedy,,Pete Kennedy,32 Pages,January 31 2018
BlackBox Comics Publishing,"I.T. - The Secret World of Modern Banking, Vol. 2",I.T. - The Secret World of Modern Banking Vol. 2 #4,https://images-na.ssl-images-amazon.com/images/S/cmx-images-prod/Item/633630/633630._SX360_QL80_TTD_.jpg,"Infection
Bank Information Technology expert Evan Adonis is relentlessly driven to the breaking point by corrupt senior bank management. They are absolutely determined to recruit Adonis, or crush him. In the internally corrupt world of modern banking, the IT expert is both the most powerful asset and the most hunted liability.",Scott McDaniel,Heubert Khan Michael,Andy Owens,Teodoro Gonzalez,24 Pages,January 31 2018
BUBBLE,"Demonslayer, Vol. 2",Demonslayer #10,https://images-na.ssl-images-amazon.com/images/S/cmx-images-prod/Item/622445/622445._SX360_QL80_TTD_.jpg,"The Fall, part 3
Thanks to the Throne, Satan has power over Hell, but it cost him his mind. And your leader being mad and unpredictable means one thing - there is already a conspiracy against him. Satan has only one ally left - Yarkh and his legion of breters. But is his loyalty strong enough?",Alex Xatchett,"Denis Popov, Anastasia Kim",,Lada Akishina,27 Pages,January 31 2018
BUBBLE,Igor Grom,Igor Grom #10,https://images-na.ssl-images-amazon.com/images/S/cmx-images-prod/Item/622450/622450._SX360_QL80_TTD_.jpg,"Hungry Spirits, part 4
Pieces of the puzzle are coming together and Igor Grom doesnt just have to find the mysterious ""vampire"" but do it before he kills another victim. But when you run so fast there is no time to look around and realize that your most dangerous enemy is following every step.",Alexey Zamskiy,"Denis Popov, Natalia Zaidova",,Maria Vasilieva,23 Pages,January 31 2018
DC,Doomsday Clock (2017-),Doomsday Clock (2017-) #3,https://images-na.ssl-images-amazon.com/images/S/cmx-images-prod/Item/606404/606404._SX360_QL80_TTD_.jpg,"The story takes a turn in the third chapter of this 12-issue series you never thought you’d see, from writer Geoff Johns and artist Gary Frank.",Geoff Johns,Gary Frank,Gary Frank,Brad Anderson,44 Pages,January 24 2018
Image,Monstress,Monstress #13,https://images-na.ssl-images-amazon.com/images/S/cmx-images-prod/Item/596460/596460._SX360_QL80_TTD_.jpg,"Hugo Award-winning MONSTRESS returns with a new arc and an oversized issue! Maika has spent most of her life learning how to fight, but how will she fare when the only way to save her life…is to make friends?",Marjorie Liu,Sana Takeda,,,39 Pages,January 24 2018
Marvel,Legion (2018),Legion (2018) #1 (of 5),https://images-na.ssl-images-amazon.com/images/S/cmx-images-prod/Item/598055/598055._SX360_QL80_TTD_.jpg,"A mind-bending X-Men tale from the brains of Peter Milligan (X-Statix, Shade the Changing Man) and Wilfredo Torres (Moon Knight, Black Panther)! David Haller, the son of Professor Charles Xavier, has always had trouble containing the multiple personalities in his mind. And with each personality, comes a wild and dangerous mutant power. But now, a terrifying new personality is threatening to absorb these powers and take  over Davids mind and body.  In a desperate attempt to save himself, David seeks out the help of renowned young psychotherapist Hannah Jones to delve into his fractured mind and fight back this dark personality. But unknown to Legion….Dr Jones brings her own demons with her...",Peter Milligan,Wilfredo Torres,,,23 Pages,January 24 2018
Oni Press,The Altered History of Willow Sparks,The Altered History of Willow Sparks,https://images-na.ssl-images-amazon.com/images/S/cmx-images-prod/Item/630033/630033._SX360_QL80_TTD_.jpg,"What happens when you can finally get everything you ever wanted?

Willow Sparks and her best friend Georgia Pratt are at the bottom of the social ladder at Twin Pines High School, just trying to get through each day relatively unscathed. But when Willow finds a mysterious book that allows her to literally change her life, it feels like her luck is finally turning. As she becomes more and more popular with each entry into the book, her old life, including her friendship with Georgia, seems miles away. Yet as Willow will discover, every action has a reaction, and the future has unusual -- even dangerous -- ways of protecting itself.","""Tara OConnor""","""Tara OConnor""","""Tara OConnor""","""Tara OConnor""",151 Pages,January 24 2018
BOOM! Studios,Abbott,Abbott #1,https://images-na.ssl-images-amazon.com/images/S/cmx-images-prod/Item/619756/619756._SX360_QL80_TTD_.jpg,"Hugo Award-nominated novelist Saladin Ahmed (Black Bolt) and artist Sami Kivelä (Beautiful Canvas) present one woman’s search for the truth that destroyed her family. Hard-nosed, chain-smoking tabloid reporter Elena Abbott investigates a series of grisly crimes that the police have ignored. Crimes she knows to be the work of dark occult forces. Forces that took her husband from her. Forces she has sworn to destroy.",Saladin Ahmed,Sami Kivela,,Jason Wordie,28 Pages,January 24 2018
Archie - Archie Horror,Jughead: the Hunger,Jughead: The Hunger #3,https://images-na.ssl-images-amazon.com/images/S/cmx-images-prod/Item/619134/619134._SX360_QL80_TTD_.jpg,NEW ONGOING SERIES! This is it -- the confrontation youve been waiting for! Werewolf Jug vs Werewolf Hunter Betty Round 2! The last one ended in a draw -- this one may end one of their lives!,Frank Tieri,"Matt Herms, Pat Kennedy, Tim Kennedy, Jack Morelli",,,26 Pages,January 24 2018
Dark Horse,Vinegar Teeth,Vinegar Teeth #1,https://images-na.ssl-images-amazon.com/images/S/cmx-images-prod/Item/598709/598709._SX360_QL80_TTD_.jpg,"LOVECRAFT MEETS LETHAL WEAPON!

As a human being, Artie Buckle is a grade-A schmuck. But hes a pretty damn fine cop. Good thing, because Brick City is under siege from its citizenry and only an unlikely partnership with a mysterious, tentacled, extra-dimensional being can put an end to the escalating crime problem. Thing is, theres a danger far greater than cub scouts robbing banks . . . oh my! Across space and time lies a far greater threat, not only to Brick City but to the world! Holy crap! Can the two get past their differences and save the planet? Well, of course they can, but getting there is gonna be a helluva fun ride. 

* An epic genre mash-up: horror, humor, crime, and science fiction!",Damon Gentry,Troy Nixey,,Dave McCaig,25 Pages,January 24 2018
Image - Top Cow,Dissonance,Dissonance #1,https://images-na.ssl-images-amazon.com/images/S/cmx-images-prod/Item/596250/596250._SX360_QL80_TTD_.jpg,"In an alternate world where Earth is populated with powerful human-spirit hybrids called Fantasmen, Folke and Roisia Herviett, two siblings with opposing worldviews, are challenged to prove their worth and take up their parents’ positions in a devious group who secretly run the world. Meanwhile, Seraphim, a Fantasmen warrior guard, is sent to prevent a catastrophic event from affecting the Earth and its own universe. From designer MELITA CURPHY, writer SINGGIH NUGROHO, and featuring the art of SAMI BASRI (Power Girl, WITCHBLADE), comes a fantasy drama set in a sci-fi world unlike any other.",Singgih Nugroho,Sami Basri,,,30 Pages,January 24 2018
Dark Horse,Critical Role,Critical Role: Vox Machina Origins #4,https://images-na.ssl-images-amazon.com/images/S/cmx-images-prod/Item/629556/629556._SX360_QL80_TTD_.jpg,"The sinister Iselda has kidnapped Vax, and Vex must swallow her pride to ask for aid from the other heroes. But when they refuse, Vex decides to retrieve a friend outside of town . . . but not before Keyleth catches up to her and pledges to help.","Matthew Colville, Matthew Mercer",Olivia Samson,,"Travis Ames, Chris Northrop",25 Pages,January 24 2018
Valiant,X-O Manowar (2017-),X-O Manowar (2017) #11,https://images-na.ssl-images-amazon.com/images/S/cmx-images-prod/Item/616561/616561._SX360_QL80_TTD_.jpg,"ALL-NEW ARC! ALL-NEW JUMPING-ON POINT! “VISIGOTH” – PART ONE!   Aric of Dacia’s bone-crushing climb to the throne of an alien world earned him scores of allies…and a legion of scorned enemies. Now, stripped of his crown and cast out of his kingdom, the man known as X-O Manowar must return to his roots as a sword-wielding warrior of Earth if he is to survive the relentless band of intergalactic bounty hunters that have been hired to kill him cold. But with few places left to turn, could the last Visigoth’s best hope be the all-powerful...but insidious...weapon he once swore away: the X-O Manowar armor?   From soldier to general to emperor...to outcast! The climax of X-O MANOWAR’s whirlwind first year in the Valiant Universe starts here as “VISIGOTH” begins with a bold new entry point from New York Times best-selling writer Matt Kindt (ETERNITY) and explosive artist Ryan Bodenheim (The Dying & The Dead)!",Matt Kindt,Ryan Bodenheim,,,33 Pages,January 24 2018
